3	1	0	1	¿Qué es la EPOC?	Es una enfermedad crónica en la que se obstruyen los bronquios	comentario	<html><body><h1>Detalle</h1></body></html>
3	2	0	1	¿Qué sintomás tiene la EPOC?	La obstrucción de los bronquios que provoca la EPOC dificulta la respiración	comentario	<html><body><h1>Detalle</h1></body></html>
3	3	0	1	¿Qué provoca la EPOC?	El respirar humo de tabaco u otras sustancias dañinas	comentario	<html><body><h1>Detalle</h1></body></html>
3	4	0	1	¿Es frecuente la EPOC?	Sí, en España el 9,1% de la población general entre 40 y 69 años la sufre	comentario	<html><body><h1>Detalle</h1></body></html>
3	5	0	1	¿Es frecuente la EPOC?	Es la cuarta causa de muerte por enfermedad a nivel mundial.	comentario	<html><body><h1>Detalle</h1></body></html>
3	6	0	1	¿Cómo se manifiesta?	Inicialmente puede no tener síntomas	comentario	<html><body><h1>Detalle</h1></body></html>
3	7	0	1	¿Cuáles son los síntomas?	A medida que la enfermedad avanza puede ocasionar tos, esputos y ahogo	comentario	<html><body><h1>Detalle</h1></body></html>
3	8	0	1	Si se agravan los síntomas...	La pérdida de calidad de vida puede ser considerable	comentario	<html><body><h1>Detalle</h1></body></html>
3	9	0	1	¿Si los síntomas se agravan?	Puede que se deba a una descompensación, las cuales son habituales	comentario	<html><body><h1>Detalle</h1></body></html>
3	10	0	1	¿Cómo se diagnostica la EPOC?	La única forma es mediante una prueba que se llama espirometría	comentario	<html><body><h1>Detalle</h1></body></html>
3	11	0	1	¿Qué es la espirometría?	La prueba que mide objetivamente si los bronquios están obstruidos	comentario	<html><body><h1>Detalle</h1></body></html>
3	12	0	1	¿Qué mide la espirometría?	El aire que se expulsa después de una inspiración profunda	comentario	<html><body><h1>Detalle</h1></body></html>
3	13	0	1	¿En qué consite la espirometría?	La espirometría se realiza con un aparato específico	comentario	<html><body><h1>Detalle</h1></body></html>
3	14	0	1	¿Por qué el tabaco causa EPOC?	Deteriora los bronquios y destruye el pulmón	Fumar o respirar humo de tabaco provoca inflamación bronquial crónica, obstrucción progresiva de los bronquios y destrucción del pulmón	<html><body><h1>Detalle</h1></body></html>
0	15	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
1	16	0	1	Cuide su alimentación	Comer bien mejorará su calidad de vida	En la EPOC, una alimentación correcta favorece el mantenimiento de una mejor calidad de vida.	<html><body><h1>Cuide su alimentación</h1><p>En la EPOC, una alimentación correcta favorece el mantenimiento de una mejor calidad de vida. Es muy recomendable que se mantenga en su peso adecuado. Tanto el sobrepeso como la desnutrición van a influir desfavorablemente en la evolución de su enfermedad.</p></body></html>
1	17	0	1	¿Qué alimentos son los más recomendables?	Es recomendable realizar comidas ligeras y poco abundantes, varias veces al día	Es recomendable realizar comidas ligeras y poco abundantes, varias veces al día (4 - 6 tomas al día), con alimentos de fácil masticación.	"<html><body><h1>¿Qué alimentos son los más recomendables?</h1></body><p>
Es recomendable realizar comidas ligeras y poco abundantes, varias veces al día (4 - 6 tomas al día), con alimentos de fácil masticación. La mejor bebida es el agua, siendo preciso ingerir una cantidad aproximada de 1,5 litros al día. Se deben instaurar medidas para prevenir el estreñimiento, aumentando el consumo de cereales integrales, frutas y vegetales.</p></html>"
1	18	0	1	¿Qué alimentos debo evitar?	Evitar alimentos que precisen una masticación prolongada y fuerte	Deberá evitar alimentos que precisen una masticación prolongada y fuerte, así como aquellos que causan flatulencia y/o digestiones pesadas (col, coliflor, cebolla, etc.).	"<html><body><h1>¿Qué alimentos debo evitar?</h1>
Deberá evitar alimentos que precisen una masticación prolongada y fuerte, así como aquellos que causan flatulencia y/o digestiones pesadas (col, coliflor, cebolla, etc.). Evite la ingesta excesiva de hidratos de carbono (pan, patatas, pastas, arroz, etc.), así como las bebidas gaseosas. También deberá evitar tomar alimentos muy fríos, muy calientes o aquellos que le provoquen, por su experiencia, irritación faríngea, porque pueden provocar la aparición de tos.</body></html>"
0	19	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	20	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	21	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	22	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	23	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	24	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	25	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	26	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	27	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	28	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	29	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	30	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
0	31	0	1	Tratamiento	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
2	32	0	1	Ejercicio	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
2	33	0	1	Ejercicio	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
2	34	0	1	Ejercicio	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
2	35	0	1	Ejercicio	mensaje	comentario	<html><body><h1>Detalle</h1></body></html>
